"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3429_at",2.30047070708976,9.3740438898102,7.26562223681327,2.38087675748102e-12,2.21469155980884e-08,17.4517096988354
"2537_at",1.07260495455346,10.027444306255,6.25837649680628,1.12270050330059e-09,2.32074668482268e-06,11.6579375760286
"4317_at",1.42309208933043,7.05493101323796,6.04649718342853,3.75483884431515e-09,4.24987332957479e-06,10.5252720236595
"129607_at",1.09434142113095,8.77349648544759,6.0405053885713,3.88345767591763e-09,4.24987332957479e-06,10.4936961055477
"11274_at",1.22953034592012,8.35946324063739,5.82056605633983,1.31343367102863e-08,8.42590345372988e-06,9.35223507407453
"306_at",1.0735213311214,7.80130635644476,5.75989005602138,1.82695137499982e-08,9.35286674599399e-06,9.04341935020968
"10562_at",1.27035725023564,6.68421252809348,5.75033714858948,1.92391152490899e-08,9.35286674599399e-06,8.99504117071171
"10964_at",1.32816465870035,9.79506489421246,5.73107387183072,2.13492879303404e-08,9.68736957697688e-06,8.89768835309245
"3437_at",1.05687679932541,10.5635806874249,5.5934772070489,4.45441470634898e-08,1.64506521186635e-05,8.21015896311286
"3434_at",1.43432494757315,8.67427139675071,5.53964518347311,5.91696745017873e-08,1.94129695438388e-05,7.94495376857582
"10561_at",1.02828188931296,9.50183964385836,5.53865414796904,5.94785671897876e-08,1.94129695438388e-05,7.94009144014407
"51191_at",1.10357628836709,8.27167333152975,5.0398134653443,7.44334482924537e-07,0.000113504907543673,5.58620847681742
"118932_at",1.0494727927676,6.72450076549858,4.99036633843411,9.46331970294667e-07,0.000135427384425861,5.36322993893422
"8653_at",-1.41936322181611,7.1577429684051,-4.71212700510857,3.52648957489483e-06,0.000334008223322669,4.14418137294706
"710_at",1.04642982043035,7.02098449245609,4.69178642350903,3.87319286216659e-06,0.000356090695200191,4.05746155582605
"7404_at",-1.24521887059625,7.59212565194334,-4.55538337819551,7.2026011109134e-06,0.000540311254304165,3.48446639169092
"57126_at",1.07469818962225,9.09119703770255,4.48196176573994,9.99627439850197e-06,0.000681211314687658,3.18223499574486
"6192_at",-1.84881795575183,9.23620186100283,-4.47653822921925,1.02394999412893e-05,0.000695239623750899,3.16008256843415
"9086_at",-1.41904455114475,7.86478697692918,-3.93745990147905,9.91464422107899e-05,0.00338444112089823,1.07879017076771
