"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045229","external encapsulating structure organization","148/4940","333/18860",0.444444444444444,1.69680611785875,7.64248699085584,3.20337055808728e-13,1.15618601211378e-09,9.55190357695279e-10,"RGCC/RAMP2/MMP11/GREM1/COL11A1/SPOCK2/FOXF1/FERMT1/CAV1/SLC39A8/MMP13/RXFP1/MMP1/LTBP4/TIE1/ADAMTS14/WNT3A/ERO1A/TGFBR3/P3H4/ADAMTS8/ADAMTS1/MMP12/TNR/CAV2/COL1A1/MFAP4/RECK/ABI3BP/TGM1/P4HA3/ENG/IBSP/COL3A1/ADAM8/SULF1/ADAMTSL3/FAP/TIMP3/ITGA8/MELTF/GAS6/PRSS2/MMP17/TNXB/GPM6B/COL6A6/COL5A2/MMP3/MMP19/IL6/TLL2/NTN4/FGFR4/HAS1/COL5A1/PRDX4/SMOC1/SERPINB5/PRSS1/FBLN5/PLOD2/COMP/ADAMTSL4/ANGPTL7/GFAP/LAMB2/ADTRP/ADAMTS12/ADAMTS16/NR2E1/SERPINH1/MMP10/CCN1/PRICKLE1/FKBP10/AGT/NPNT/HPSE2/MYH11/CTSV/VIT/PRDM5/TLL1/BMP2/MMP9/LOXL2/POSTN/PTX3/FBLN1/TPSAB1/PPARG/ECM2/NDNF/PHLDB2/NOX1/COL1A2/ADAMTS20/PDPN/SCX/MMP14/C6orf15/ITGA2/LCP1/ADAMTS15/ADAMTSL5/COL2A1/OLFML2A/TMPRSS6/DDR2/DPT/MATN3/MMP7/CARMIL2/FOXF2/CTSG/LOXL1/DMP1/THSD4/COL6A5/CMA1/COL4A4/COL4A3/ADAMTS18/ADAMTS4/NPHS1/COL11A2/APLP1/SOX9/DPP4/MMP16/ERO1B/MMP8/SFRP2/TGFB2/ITGB3/HPN/MMP20/SPINK5/COLGALT2/FSHR/MMP28/MIA/IHH/LAMA1/OPTC/VTN/MIR205",148
"GO:0030198","extracellular matrix organization","147/4940","331/18860",0.444108761329305,1.69552454224103,7.6050776450764,4.14114867196432e-13,1.15618601211378e-09,9.55190357695279e-10,"RGCC/RAMP2/MMP11/GREM1/COL11A1/SPOCK2/FOXF1/FERMT1/CAV1/SLC39A8/MMP13/RXFP1/MMP1/LTBP4/TIE1/ADAMTS14/WNT3A/ERO1A/TGFBR3/P3H4/ADAMTS8/ADAMTS1/MMP12/TNR/CAV2/COL1A1/MFAP4/RECK/ABI3BP/P4HA3/ENG/IBSP/COL3A1/ADAM8/SULF1/ADAMTSL3/FAP/TIMP3/ITGA8/MELTF/GAS6/PRSS2/MMP17/TNXB/GPM6B/COL6A6/COL5A2/MMP3/MMP19/IL6/TLL2/NTN4/FGFR4/HAS1/COL5A1/PRDX4/SMOC1/SERPINB5/PRSS1/FBLN5/PLOD2/COMP/ADAMTSL4/ANGPTL7/GFAP/LAMB2/ADTRP/ADAMTS12/ADAMTS16/NR2E1/SERPINH1/MMP10/CCN1/PRICKLE1/FKBP10/AGT/NPNT/HPSE2/MYH11/CTSV/VIT/PRDM5/TLL1/BMP2/MMP9/LOXL2/POSTN/PTX3/FBLN1/TPSAB1/PPARG/ECM2/NDNF/PHLDB2/NOX1/COL1A2/ADAMTS20/PDPN/SCX/MMP14/C6orf15/ITGA2/LCP1/ADAMTS15/ADAMTSL5/COL2A1/OLFML2A/TMPRSS6/DDR2/DPT/MATN3/MMP7/CARMIL2/FOXF2/CTSG/LOXL1/DMP1/THSD4/COL6A5/CMA1/COL4A4/COL4A3/ADAMTS18/ADAMTS4/NPHS1/COL11A2/APLP1/SOX9/DPP4/MMP16/ERO1B/MMP8/SFRP2/TGFB2/ITGB3/HPN/MMP20/SPINK5/COLGALT2/FSHR/MMP28/MIA/IHH/LAMA1/OPTC/VTN/MIR205",147
"GO:0043062","extracellular structure organization","147/4940","332/18860",0.442771084337349,1.69041754060778,7.56083524008476,5.5319904885827e-13,1.15618601211378e-09,9.55190357695279e-10,"RGCC/RAMP2/MMP11/GREM1/COL11A1/SPOCK2/FOXF1/FERMT1/CAV1/SLC39A8/MMP13/RXFP1/MMP1/LTBP4/TIE1/ADAMTS14/WNT3A/ERO1A/TGFBR3/P3H4/ADAMTS8/ADAMTS1/MMP12/TNR/CAV2/COL1A1/MFAP4/RECK/ABI3BP/P4HA3/ENG/IBSP/COL3A1/ADAM8/SULF1/ADAMTSL3/FAP/TIMP3/ITGA8/MELTF/GAS6/PRSS2/MMP17/TNXB/GPM6B/COL6A6/COL5A2/MMP3/MMP19/IL6/TLL2/NTN4/FGFR4/HAS1/COL5A1/PRDX4/SMOC1/SERPINB5/PRSS1/FBLN5/PLOD2/COMP/ADAMTSL4/ANGPTL7/GFAP/LAMB2/ADTRP/ADAMTS12/ADAMTS16/NR2E1/SERPINH1/MMP10/CCN1/PRICKLE1/FKBP10/AGT/NPNT/HPSE2/MYH11/CTSV/VIT/PRDM5/TLL1/BMP2/MMP9/LOXL2/POSTN/PTX3/FBLN1/TPSAB1/PPARG/ECM2/NDNF/PHLDB2/NOX1/COL1A2/ADAMTS20/PDPN/SCX/MMP14/C6orf15/ITGA2/LCP1/ADAMTS15/ADAMTSL5/COL2A1/OLFML2A/TMPRSS6/DDR2/DPT/MATN3/MMP7/CARMIL2/FOXF2/CTSG/LOXL1/DMP1/THSD4/COL6A5/CMA1/COL4A4/COL4A3/ADAMTS18/ADAMTS4/NPHS1/COL11A2/APLP1/SOX9/DPP4/MMP16/ERO1B/MMP8/SFRP2/TGFB2/ITGB3/HPN/MMP20/SPINK5/COLGALT2/FSHR/MMP28/MIA/IHH/LAMA1/OPTC/VTN/MIR205",147
"GO:0042391","regulation of membrane potential","194/4940","474/18860",0.409282700421941,1.56256512752182,7.38961032621648,1.12999879496711e-12,1.58572229000191e-09,1.3100544596826e-09,"PYCR1/SLC6A4/FHL1/STX1A/ADRB2/HTR3A/CAV1/SLC39A8/KCNN4/SCN4B/CHRNA5/NETO1/SCN8A/MYOC/GRIK4/CD36/GRIN1/RNF122/ACTN2/CHRM1/CDKN2A/HSH2D/ADRB1/GRIA1/SHANK3/HCN3/KCNMB3/CHRNB4/CLCN2/NUP155/SMAD7/KCNA5/CASQ2/HTR3C/GJA5/PID1/FXYD1/GLRA3/DSP/ALB/KCNA4/GPER1/EDN1/KCNIP1/GABRA3/SCN7A/CNGB1/CHRNA2/KCNQ5/ADRA1A/SLC24A4/PPIF/CHRNA9/TBX5/RNF207/ATP1A2/KCNQ3/RIMS2/GRIN2D/DSG2/SNCA/CAV3/KCND2/AKAP7/GCLC/LIPA/HCN2/AGT/GRIK2/DCN/ATP1B2/KCNQ2/SCN4A/NTRK3/BNIP3/GRID1/SLC4A3/CACNB3/PIP5KL1/TRPV1/KCNJ10/KCNE4/CHRNB1/KCNK3/SCN2B/PMAIP1/CCN6/KCNJ5/CHRNA6/SLC1A7/KCNK5/KCNG2/SLC4A11/MLLT11/KCNK9/INSYN2A/OPRD1/ATP1B1/KCNK1/LRRK2/KCTD16/CACNA1I/TRPA1/FZD9/KCNV1/NDP/P2RX1/KCNE1/NTSR1/RGS7/TBX18/SLC8A3/KCNA10/ASIC1/GPR88/KCNC2/KCNA7/GJA1/GABRG2/KCNJ8/KCNH8/ASIC5/GABRG3/WNT7A/GABRR2/HTR3B/SCN1A/MAPK8IP2/GABRA5/CACNB4/P2RX5/GABRR1/INSYN1/GCLM/NTRK2/P2RX2/KCNC1/CHRND/GABRD/P2RX6/KCNH4/SCN5A/MET/PKP2/ATP1A3/PHOX2B/GRIK5/KCNMB2/BCO2/KCNH2/SCN3B/SLC8A2/KCNK2/ADCY10/KCNF1/CHRNA4/HCN1/CHRNG/GRIA4/KCNG1/GRIN3B/CACNA1G/P2RX3/NOS1/SLC26A3/RIMS4/GRIA2/SCN3A/CFTR/CHRNB2/ADORA1/GRIN2C/GRIN2A/GABRA4/LTF/CLCN1/SLC34A1/CBLN1/TRPC5/RIMS1/KCNV2/CASR/POPDC3/SLC1A6/KCNH7/NTSR2/UCN3/HCRT/KCNJ9/GRIK3/GABRB1/GRIK1/BEST2/KCNK16",194
"GO:0019730","antimicrobial humoral response","93/4940","184/18860",0.505434782608696,1.92965587044534,7.54905139310161,1.26453133173996e-12,1.58572229000191e-09,1.3100544596826e-09,"FGB/WFDC3/IGHG4/IL36RN/H2BC6/PGLYRP4/HLA-E/CXCL14/GAPDH/H2BC8/KRT6A/PGLYRP3/PRSS2/H2BC7/PRSS3/CALCA/IGHG1/CCL23/CXCL2/SLC11A1/IGHG3/IGHG2/BPIFA1/H2BC4/F2/CAMP/CCL24/CXCL13/GATA6/WFDC10B/H2BC11/IGKV3-20/TF/CCL2/CCL25/FGA/H2BC12/WFDC2/TSLP/CXCL3/IGHA2/CXCL12/PGLYRP1/DEFA3/S100A7/H2BC10/CCL14/LGALS4/IGHA1/MMP7/VIP/CTSG/REG1A/S100A12/HRG/PF4/PLA2G1B/IGHM/H2BC21/CCL7/NTS/PPBP/DEFA4/KNG1/CCL16/PI3/CXCL9/CX3CL1/CCL18/HAMP/SLPI/CCL1/CCL26/WFDC13/SPINK5/CCL20/IGHD/CCL19/IL17A/DEFB126/LTF/SPRR2A/H2BC12L/RNASE7/CXCL6/S100A9/KLK3/DEFB1/WFDC11/NPPB/DEFB4A/DEFA5/SPAG11B",93
"GO:0006959","humoral immune response","134/4940","307/18860",0.436482084690554,1.66640731118701,7.01301964770196,2.00434989893328e-11,2.09454564438528e-08,1.7304220794124e-08,"EXO1/FCN3/FGB/COLEC10/TNFRSF21/WFDC3/CD5L/IGHG4/IL36RN/H2BC6/MASP1/PGLYRP4/CD83/HLA-E/CXCL14/GAPDH/VSIG4/H2BC8/KRT6A/A2M/PGLYRP3/PRSS2/H2BC7/PRSS3/CALCA/ALOX5/CFD/IGHG1/CCL23/IL6/CXCL2/CFP/SLC11A1/IGHG3/SERPING1/IGHG2/GPI/BPIFA1/ZP3/H2BC4/F2/CAMP/CCL24/CXCL13/GATA6/CFHR3/WFDC10B/C1QA/H2BC11/C1QB/IGKV3-20/TF/CCL2/CCL25/FCN1/FGA/H2BC12/WFDC2/CFB/TSLP/CXCL3/IGHA2/BST1/CXCL12/PGLYRP1/DEFA3/S100A7/H2BC10/CCL14/LGALS4/C4BPB/CD37/C7/IGHA1/MMP7/VIP/POU2AF1/CTSG/REG1A/C8B/S100A12/HRG/PF4/PLA2G1B/C1QC/C8G/IGHM/H2BC21/CCL7/IFNE/C6/NTS/KRT1/PPBP/SUSD4/AIRE/DEFA4/KNG1/CCL16/CFHR4/PI3/CXCL9/CX3CL1/CCL18/HAMP/HPX/SLPI/CCL1/CCL26/IFNG/WFDC13/SPINK5/CCL20/IGHD/CCL19/IL17A/DEFB126/LTF/SPRR2A/CFHR5/H2BC12L/IFNB1/RNASE7/CXCL6/S100A9/IFNK/KLK3/DEFB1/WFDC11/NPPB/C8A/DEFB4A/DEFA5/SPAG11B",134
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","124/4940","279/18860",0.444444444444444,1.69680611785875,6.98526203280776,2.63339499317735e-11,2.2930696819518e-08,1.89443396371776e-08,"PECAM1/ROBO4/CDH5/IGSF9/CELSR3/NECTIN4/MYADM/PLXNB3/TGFBR2/SPARCL1/CLDN5/CEACAM5/PCDH12/SELP/CDH17/CLDN6/ESAM/CEACAM1/KLF4/CDH3/CLDN10/PCDH17/SELE/PCDHGB7/CNTN6/MDGA1/JAML/NEXN/CLDN12/CDHR2/PCDHGC3/PTPRM/TENM4/NECTIN1/CDH13/CDH24/DSG2/CLDN3/PCDH15/CLDN18/FLRT3/CLDN4/BMP2/EFNA5/CDH15/AMIGO1/SLITRK2/ITGAL/RET/PCDHGA12/CLDN14/CLDN9/SCARF1/EMB/GATA5/CLDN2/CADM1/PCDH7/FAT1/CDHR5/DCHS1/LRRC4B/CDH18/CDH23/CDH19/DSG3/HMCN2/DSG4/PCDH9/PCDHGA1/LRFN4/MYPN/FAT2/CDH2/ROBO2/FAT3/PCDHA5/PCDH8/MAG/CEACAM6/FAT4/NTNG1/CRTAM/PCDHGA8/MIR221/PTPRD/PCDHA6/IGSF11/LRRC4/PCDHA9/CD177/SDK1/SLITRK1/CLDN11/CEACAM8/CNTN2/PCDHB8/TGFB2/PCDHA8/PCDHA7/CX3CL1/PCDHA12/CDHR3/CDH20/CLSTN2/ADGRL3/CDHR4/CDH7/PCDHA4/PCDHA11/CADM3/PCDH11X/DSC1/SLITRK5/PTPRT/PCDH10/CBLN1/CDH12/L1CAM/DSG1/PSG5/DCHS2/DSC3/CDH22",124
"GO:0007389","pattern specification process","193/4940","486/18860",0.397119341563786,1.51612768864231,6.86715142447659,3.11410482281435e-11,2.2930696819518e-08,1.89443396371776e-08,"ACVRL1/GREM1/XRCC2/PITX2/FOXF1/STIL/SMAD6/OTX1/SOX17/GRHL3/BARX1/FEZF1/AURKA/KAT2A/DLL3/BMPR2/WNT3A/TGFBR2/ARC/HOXB9/WNT3/TBX3/MFNG/TBX2/TDRKH/ARL13B/SIM2/SP8/ENG/PAX7/HOXC13/FUT6/DMRTA2/HOXC11/HOXC10/MESP1/MESP2/HES6/EGR2/HOXA10/TLL2/LHX2/FOXB1/SOX18/EDN1/HOXA5/SOSTDC1/NDRG4/TDRD5/SIX1/FGF10/ZEB1/FGF2/ARL6/TBX5/SIX2/TBXT/RNF207/NKX3-2/HOXC9/PRICKLE1/CHRDL1/CDX2/ADGRG1/PRKDC/FGFR2/LHX1/C1QA/GPC3/HOXB7/ZEB2/HHIP/APLNR/TLL1/FOXH1/BMP2/ASCL1/NRG3/GDNF/BASP1/CDX1/HOXB8/ZBTB16/HOXC6/FOXA1/BTG2/HOXC8/HEYL/ISL1/MEIS1/SATB2/HOXD4/HOXA4/HOXA11/WNT2B/GATA5/CFAP53/HOXC4/MDFI/DCHS1/EMX1/TBX18/HOXD13/LEFTY2/TDRD1/CIROP/CFAP52/HEY2/DLX1/HOXD12/NKD1/HELT/HOXD3/ODAD4/WNT6/TBX6/ZIC1/WNT7A/ALX3/ROBO2/VAX2/GSC/HOXB2/ASPH/DKK1/LFNG/HOXB3/HES7/BHLHE41/PCDH8/ERBB4/CHRD/DRC1/COBL/ALX1/MSX2/ENKUR/OSR2/IRX4/NEUROD1/HOXD11/GBX2/MEOX2/DLX2/CYP26B1/LMX1B/WNT2/FOXD1/PCSK6/RAX/DNAI2/ODAD3/ODAD2/FOXG1/NOTO/OTX2/DNAI1/DNAAF1/SFRP2/WNT8B/TBR1/RIPPLY3/MEOX1/ZIC3/CIMAP3/DNAAF3/NKX2-5/DMRT3/POU5F1/CFAP45/SOX1/WNT1/HOXA9/DAW1/PAX6/IRX1/LHX3/SIX3/EN1/GATA4/HOXC5/FOXN4/IHH/ALX4/TBX20/HOXB1/FGF8/NKX2-2/CFC1/GSX2/FEZF2/RIPPLY2/CER1",193
"GO:0061644","protein localization to CENP-A containing chromatin","18/4940","18/18860",1,3.81781376518219,7.1250550842895,3.291487581749e-11,2.2930696819518e-08,1.89443396371776e-08,"CENPA/H2AC8/H4C5/H4C8/H4C14/H4C12/H4C9/H2BC11/H4C3/H4C2/H4C4/H2AC4/H4C11/H4C1/H4C16/H4C13/H4C15/H4C6",18
"GO:0030900","forebrain development","166/4940","419/18860",0.39618138424821,1.51254674229175,6.3205000945942,9.18327407203386e-10,4.87046632246492e-07,4.02376643546543e-07,"SEMA3G/KIF14/ASPM/PITX2/EZH2/STIL/SLC2A1/NDST1/OTX1/MDK/FEZ1/SLIT2/FEZF1/PITX1/KAT2A/EFNA2/TACC1/WNT3A/IGF2BP1/ATIC/AGTPBP1/HMGA2/TNR/TBX3/SEMA5A/PHACTR1/WDR62/ARL13B/COL3A1/DLC1/TACC3/GATA2/GMPPA/POU3F2/RAC3/GRIA1/DIXDC1/SRGAP2C/SHANK3/DMRTA2/RTN4RL2/TUBB2B/CCDC141/FBXO41/EPHB2/MYH10/SLC7A11/SRD5A1/MDGA1/ATAT1/POU4F1/BCAN/LHX2/FOXB1/SALL1/DAB2IP/FGF10/FGF2/ATP1A2/NR2E1/ID4/LHX5/TSKU/CDK5R1/NR4A3/FILIP1/ADGRG1/SLC6A3/CRTAC1/FGFR2/LHX1/E2F1/AVPR2/ARHGAP11B/ATP1B2/ZEB2/TYROBP/LHX6/BNIP3/HPRT1/PRKG1/MFSD2A/BMP2/ASCL1/DLX5/FOS/NRG3/CDK5R2/NR0B1/BTG2/PLXNA3/NDNF/LRP8/ISL1/PRDM13/SSTR1/EPHB3/TFAP2C/SALL3/LRRK2/CXCL12/CNTNAP2/TUBA1A/WNT2B/EMX1/SEMA3A/SLC8A3/ELAVL4/KCNC2/DLX1/KIF26A/PCDH9/TUBB2A/ZIC1/LHX8/WNT7A/CDH2/ROBO2/VAX2/GSC/DKK1/ERBB4/FAT4/NTRK2/AQP1/NEUROD1/GBX2/DLX2/HTR6/NEFL/KCNC1/APLP1/SCN5A/RAX/POU1F1/FOXG1/SEMA3D/CNTN2/NRGN/OTX2/P2RY12/SOX2/TBR1/ZIC3/INHBB/ARX/HAP1/CHRNB2/SOX1/RTN4RL1/SOX3/WNT1/SLITRK5/ATOH1/PAX6/CCKAR/LHX3/SIX3/NEUROG2/OLIG2/FGF8/OTP/POU3F3/GSX2/NEUROG3/FEZF2",166
